cel;ID_istochnika;slug_istochnika
zastroyshchiku;200;resheniya
zhkh-i-vodokanalu;200;resheniya
dorozhnomu-podryadchiku;626;dorozhnoe-zhbi
dorozhnomu-podryadchiku;200;resheniya
dorozhnoe-zhbi;1473;f-1
dorozhnoe-zhbi;644;oryol
dorozhnoe-zhbi;642;kursk
dorozhnoe-zhbi;629;zastroyshchiku
dorozhnoe-zhbi;627;dorozhnomu-podryadchiku
dorozhnoe-zhbi;100;catalog
catalog;200;resheniya
