101,elementy-kollektorov,4,3,1
102,kolodtsy-unifitsirovannye,4,3,1
103,neprohodnye-kanaly-nkl,4,4,0
104,opornye-plity-op,4,3,1
105,plity-perekrytiya-kanalov-vp,4,3,1
106,dnishcha-kolodtsev-pd,4,3,1
107,fbs-bloki,4,2,2
108,koltsa-kolodeznye-ks,4,2,2
109,koltsa-s-dnom-ktsd,4,2,2
110,kryshki-kolodtsev-pp,4,1,3
111,lyuki-chugunnye,4,3,1
112,blok-protivofiltratsionnogo-ekrana,4,2,2
113,fundamenty-pod-dorozhnye-znaki,4,1,3
114,lekalnye-bloki-bl,4,1,3
115,otkosnye-stenki,4,1,3
116,portalnye-stenki-stk,4,1,3
117,telefonnye-kolodtsy-kks,4,3,1
118,zvenya-ploskoe-opiranie-zkp,4,1,3
119,vodopropusknye-truby-zk,4,0,4
